iter	RMSE
0	511.9990985
1	496.1524471
2	480.0092929
3	464.674522
4	450.4834918
5	436.7040988
6	424.7986893
7	411.9698777
8	399.9019078
9	389.0460329
10	377.6112079
11	365.873993
12	356.1307104
13	346.8845143
14	337.2621947
15	328.2917511
16	319.8313358
17	311.888971
18	304.3997775
19	296.8266909
20	289.8140927
21	282.8599056
22	276.2297853
23	270.3965149
24	264.9669149
25	259.6453315
26	254.3794843
27	249.6701269
28	245.5080765
29	241.322738
30	237.0720929
31	233.1151931
32	229.8344018
33	226.3723623
34	223.1969054
35	219.4304096
36	216.3819567
37	213.68043
38	210.9653175
39	207.9524048
40	204.8012325
41	202.3106282
42	199.0663512
43	196.3722241
44	195.9692745
45	195.1033967
46	192.6222423
47	190.5297668
48	189.3476408
49	187.3161268
50	185.5520532
51	183.4882554
52	181.9470705
53	181.6271244
54	181.1267542
55	180.7856772
56	178.9451579
57	178.6248858
58	176.7553539
59	174.7465855
60	173.3033863
61	171.5600267
62	171.2886092
63	170.0444706
64	168.8224215
65	168.3179096
66	166.8268818
67	165.6682436
68	165.028517
69	164.4806355
70	163.2067858
71	162.9435965
72	161.6331026
73	160.8757514
74	159.5263975
75	159.0252535
76	158.087813
77	157.2630613
78	157.0409167
79	156.2147354
80	155.6515606
81	154.6748001
82	154.3016308
83	154.0957905
84	152.9981906
85	152.2204565
86	151.1077156
87	149.7013704
88	148.8178496
89	148.337759
90	148.0362512
91	147.0098274
92	146.0861413
93	145.0755476
94	144.5508491
95	144.0956904
96	143.5197893
97	142.773303
98	142.023004
99	141.8318457
100	141.2633919
101	140.7896821
102	140.12681
103	139.6950442
104	138.9544314
105	137.9513512
106	137.7787945
107	136.8491555
108	136.2740946
109	135.7576657
110	135.2844872
111	135.1635696
112	135.0203396
113	134.0834086
114	133.6164898
115	133.1007869
116	132.9858779
117	132.8778395
118	132.6003195
119	132.4694788
120	132.3674718
121	132.2657928
122	131.8665739
123	131.7180528
124	131.6118925
125	131.1835006
126	131.0868687
127	130.9572393
128	130.5360209
129	130.0470553
130	129.9562907
131	129.1643843
132	129.0799532
133	128.9800685
134	128.743522
135	128.5985864
136	128.5117277
137	127.8792515
138	127.2356973
139	126.5974982
140	126.3115831
141	126.238764
142	126.1466339
143	125.58997
144	125.5152771
145	124.9798584
146	124.0448098
147	123.9277225
148	123.8313348
149	123.1584377
150	123.076007
151	122.986034
152	122.9128807
153	122.8417627
154	121.8753327
155	121.2024399
156	121.1169632
157	121.060625
158	120.9721865
159	120.8916441
160	120.8385799
161	120.7830359
162	120.7197399
163	120.6500448
164	120.5712213
165	120.2361169
166	120.1707714
167	119.6024669
168	119.5424711
169	118.6437218
170	118.5708177
171	118.5096802
172	118.4269896
173	118.3719557
174	118.3223847
175	117.843291
176	117.7854443
177	117.2324684
178	117.1833836
179	116.7121017
180	116.1076999
181	115.9572268
182	115.7312159
183	115.4302822
184	114.9637388
185	114.9094219
186	114.8390865
187	114.5543895
188	114.5035598
189	114.2063886
190	114.1538201
191	114.0966082
192	113.3201904
193	112.9459642
194	112.5754272
195	112.5248719
196	112.4692054
197	111.8780877
198	111.8452124
199	111.320265
200	110.8161949
201	110.6246046
202	110.1654877
203	109.6114546
204	109.2566703
205	108.7768911
206	108.3923997
207	108.1117919
208	107.5290046
209	107.4944856
210	107.4537483
211	107.2348023
212	106.8660521
213	106.4351485
214	106.100022
215	106.0624097
216	105.731058
217	105.3542456
218	105.0448794
219	104.4787439
220	104.2148369
221	104.1801687
222	103.8244251
223	103.7919609
224	103.442022
225	103.1002761
226	102.8885768
227	102.5406064
228	102.1343345
229	101.7539793
230	101.1418012
231	100.8368107
232	100.7969296
233	100.7649228
234	100.7330609
235	100.3805308
236	100.3414265
237	100.0539184
238	99.70076101
239	99.51627989
240	99.05535954
241	98.36402067
242	98.06474856
243	97.65185507
244	97.38500871
245	97.28018053
246	96.87589555
247	96.55167496
248	96.33422264
249	96.0538206
250	95.5759767
251	95.14846107
252	95.12141999
253	94.89432404
