iter	Passed	Remaining
0	2	2186
1	3	1873
2	5	1784
3	6	1728
4	8	1665
5	9	1628
6	11	1572
7	12	1543
8	13	1526
9	15	1502
10	16	1486
11	17	1463
12	19	1455
13	20	1451
14	21	1440
15	23	1428
16	24	1419
17	25	1403
18	27	1408
19	28	1404
20	30	1401
21	31	1396
22	32	1390
23	34	1388
24	35	1384
25	36	1375
26	37	1365
27	39	1358
28	40	1352
29	41	1348
30	42	1341
31	44	1340
32	45	1336
33	46	1333
34	48	1332
35	49	1329
36	50	1324
37	52	1321
38	53	1322
39	54	1315
40	56	1311
41	57	1305
42	58	1304
43	60	1305
44	61	1300
45	62	1295
46	63	1291
47	65	1289
48	66	1285
49	67	1287
50	69	1284
51	70	1280
52	71	1276
53	72	1278
54	74	1277
55	76	1282
56	77	1279
57	78	1278
58	79	1273
59	80	1266
60	81	1261
61	83	1257
62	84	1251
63	85	1249
64	86	1247
65	87	1243
66	89	1241
67	90	1242
68	93	1267
69	95	1274
70	97	1280
71	100	1297
72	103	1308
73	105	1320
74	108	1337
75	110	1342
76	112	1352
77	114	1358
78	117	1365
79	119	1378
80	121	1383
81	123	1382
82	124	1380
83	126	1379
84	127	1377
85	129	1376
86	131	1375
87	132	1373
88	133	1370
89	135	1369
90	136	1366
91	138	1368
92	140	1365
93	141	1363
94	142	1360
95	144	1357
96	145	1355
97	146	1351
98	148	1349
99	149	1346
100	150	1343
101	152	1340
102	153	1337
103	154	1333
104	156	1330
105	157	1329
106	158	1326
107	160	1323
108	161	1321
109	162	1318
110	164	1315
111	164	1306
112	166	1303
113	167	1300
114	168	1298
115	169	1295
116	171	1293
117	172	1290
118	173	1286
119	175	1284
120	175	1278
121	177	1277
122	179	1279
123	181	1282
124	183	1284
125	185	1286
126	187	1286
127	188	1283
128	189	1280
129	191	1278
130	192	1275
131	193	1272
132	194	1268
133	195	1264
134	196	1261
135	198	1259
136	199	1257
137	201	1255
138	202	1252
139	203	1252
140	205	1250
141	206	1247
142	207	1243
143	208	1240
144	209	1237
145	211	1235
146	212	1232
147	213	1230
148	214	1227
149	216	1224
150	217	1223
151	218	1220
152	219	1217
153	221	1215
154	222	1213
155	223	1210
156	224	1207
157	225	1201
158	227	1202
159	229	1203
160	230	1199
161	232	1200
162	234	1202
163	236	1203
164	238	1205
165	239	1204
166	241	1207
167	244	1209
168	245	1208
169	247	1207
170	248	1206
171	250	1206
172	251	1204
173	253	1203
174	254	1201
175	256	1201
176	258	1200
177	259	1200
178	261	1198
179	263	1199
180	265	1200
181	267	1202
182	269	1203
183	271	1205
184	273	1205
185	275	1204
186	276	1203
187	278	1203
188	280	1202
189	282	1202
190	283	1201
191	285	1200
192	286	1199
193	288	1198
194	290	1197
195	291	1195
196	292	1193
197	294	1192
198	296	1194
199	299	1196
200	301	1196
201	303	1199
202	305	1201
203	308	1201
204	310	1205
205	313	1208
206	315	1207
207	316	1206
208	318	1206
209	321	1209
210	324	1211
211	326	1211
212	327	1211
213	329	1211
214	331	1210
215	333	1209
216	335	1209
217	336	1208
218	338	1206
219	339	1205
220	341	1203
221	342	1201
222	344	1198
223	345	1196
224	347	1195
225	348	1192
226	349	1189
227	350	1186
228	351	1183
229	352	1180
230	353	1177
231	354	1175
232	356	1171
233	357	1168
234	358	1165
235	359	1162
236	360	1160
237	361	1157
238	362	1155
239	363	1152
240	364	1149
241	366	1146
242	367	1144
243	368	1141
244	369	1138
245	370	1135
246	371	1132
247	372	1129
248	373	1127
249	374	1124
250	376	1122
251	377	1119
252	378	1117
253	379	1114
254	380	1112
255	382	1110
256	383	1108
257	384	1105
258	385	1103
259	386	1101
260	388	1099
261	389	1097
262	390	1094
263	391	1092
264	393	1091
265	394	1088
266	395	1086
267	396	1083
268	397	1081
269	399	1078
270	400	1076
271	401	1074
272	402	1071
273	403	1069
274	404	1066
275	405	1064
276	406	1061
277	408	1059
278	409	1057
279	410	1054
280	411	1052
281	412	1049
282	413	1047
283	414	1045
284	415	1043
285	416	1040
286	417	1038
287	419	1035
288	420	1033
289	421	1031
290	422	1030
291	423	1027
292	424	1025
293	426	1023
294	427	1021
295	428	1018
296	429	1016
297	430	1014
298	431	1011
299	432	1009
300	434	1008
301	435	1006
302	436	1004
303	438	1003
304	439	1001
305	440	1000
306	442	998
307	443	996
308	444	994
309	445	992
310	446	990
311	447	987
312	449	985
313	450	983
314	451	981
315	452	979
316	453	978
317	455	976
318	456	974
319	457	972
320	459	970
321	460	969
322	461	966
323	462	964
324	463	962
325	464	960
326	465	958
327	466	956
328	468	954
329	469	953
330	470	951
331	471	949
332	473	948
333	474	946
334	475	943
335	476	941
336	477	939
337	478	937
338	480	936
339	481	934
340	482	931
341	483	929
342	484	927
343	485	925
344	486	923
345	487	921
346	488	919
347	489	917
348	490	915
349	491	913
350	493	911
351	494	909
352	495	908
353	496	906
354	497	904
355	498	902
356	499	900
357	501	898
358	502	896
359	503	894
360	504	892
361	505	890
362	506	888
363	507	886
364	508	885
365	509	883
366	511	881
367	512	879
368	513	878
369	514	876
370	516	874
371	517	873
372	518	871
373	519	870
374	521	868
375	522	867
376	523	865
377	525	863
378	526	862
379	527	860
380	528	858
381	529	856
382	530	854
383	531	853
384	533	851
385	534	849
386	535	847
387	536	846
388	537	844
389	538	842
390	539	840
391	540	838
392	541	836
393	542	835
394	544	833
395	545	831
396	546	830
397	547	828
398	549	827
399	550	825
400	551	824
401	553	822
402	554	821
403	555	819
404	556	818
405	557	816
406	559	814
407	560	813
408	561	811
409	562	810
410	564	808
411	565	807
412	566	805
413	567	803
414	569	802
415	570	800
416	571	799
417	573	797
418	574	796
419	575	794
420	576	792
421	577	791
422	578	789
423	579	787
424	580	785
425	582	784
426	583	782
427	584	780
428	585	779
429	586	777
430	587	775
431	588	774
432	589	772
433	591	770
434	592	769
435	593	768
436	594	766
437	596	765
438	597	763
439	598	761
440	599	760
441	600	758
442	601	756
443	602	754
444	604	753
445	605	751
446	606	750
447	607	748
448	608	746
449	609	745
450	610	743
451	611	741
452	613	740
453	614	738
454	615	737
455	616	735
456	617	733
457	618	732
458	620	730
459	621	729
460	622	727
461	623	725
462	624	724
463	625	722
464	627	721
