Metric,Value,Model
MSE,5652.8072197118445,XGBoost
RMSE,75.18515292071862,XGBoost
R-squared,0.9232151819063972,XGBoost
Explained Variance,0.9269173350332807,XGBoost
Max Error,440.24962524414065,XGBoost
Median Absolute Error,36.924183044433605,XGBoost
MSE,4319.567131816287,CatBoost
RMSE,65.72341387828456,CatBoost
R-squared,0.9413252277022589,CatBoost
Explained Variance,0.9465574738551181,CatBoost
Max Error,466.06424780274216,CatBoost
Median Absolute Error,31.611098734144377,CatBoost
MSE,6367.526589197707,LightGBM
RMSE,79.79678307549564,LightGBM
R-squared,0.9135068025754028,LightGBM
Explained Variance,0.9156730397027113,LightGBM
Max Error,440.5887258165228,LightGBM
Median Absolute Error,35.90852426063301,LightGBM
